UrzadzenieID,WersjaID,Aktywne,dataOstatniejModyfikacji,dataWygasniecia,UrzadzenieID,Szerokosc,Dlugosc,rTimeAggregate
0,0,False,09/07/2026 16:49:34,09/07/2026 16:49:34,0,51.39,14.45,4.49
0,1,False,09/07/2026 16:49:34,09/07/2026 16:49:34,0,51.39,14.45,4.49
0,2,False,09/07/2026 16:49:34,09/07/2026 16:49:34,0,51.39,14.45,4.49
0,3,False,09/07/2026 16:49:34,09/07/2026 16:49:34,0,51.39,14.45,4.49
0,4,False,09/07/2026 16:49:34,09/07/2026 16:49:34,0,51.39,14.45,4.49
0,5,False,09/07/2026 16:49:34,09/07/2026 16:49:34,0,51.39,14.45,4.49
0,6,False,09/07/2026 16:49:34,09/07/2026 16:49:34,0,51.39,14.45,4.49
0,7,False,09/07/2026 16:49:34,09/07/2026 16:49:34,0,51.39,14.45,4.49
0,8,False,09/07/2026 16:49:34,09/07/2026 16:49:34,0,51.39,14.45,4.49
0,9,False,09/07/2026 16:49:34,09/07/2026 16:49:34,0,51.39,14.45,4.49
0,10,False,09/07/2026 16:49:34,09/07/2026 16:49:34,0,51.39,14.45,4.49
0,11,False,09/07/2026 16:49:34,09/07/2026 16:49:34,0,51.39,14.45,4.49
0,12,False,09/07/2026 16:49:34,09/07/2026 16:49:34,0,51.39,14.45,4.49
0,13,False,09/07/2026 16:49:34,09/07/2026 16:49:35,0,51.39,14.45,4.49
0,14,False,09/07/2026 16:49:35,09/07/2026 16:49:35,0,51.39,14.45,4.49
0,15,False,09/07/2026 16:49:35,09/07/2026 16:49:35,0,51.39,14.45,4.49
0,16,False,09/07/2026 16:49:35,09/07/2026 16:49:35,0,51.39,14.45,4.49
0,17,False,09/07/2026 16:49:35,09/07/2026 16:49:36,0,51.39,14.45,4.49
0,18,False,09/07/2026 16:49:36,09/07/2026 16:49:36,0,51.39,14.45,4.49
0,19,False,09/07/2026 16:49:36,09/07/2026 16:49:37,0,51.39,14.45,4.49
0,20,False,09/07/2026 16:49:37,09/07/2026 16:49:37,0,51.39,14.45,4.49
0,21,False,09/07/2026 16:49:37,09/07/2026 16:49:38,0,51.39,14.45,4.49
0,22,False,09/07/2026 16:49:38,09/07/2026 16:49:38,0,51.39,14.45,4.49
0,23,False,09/07/2026 16:49:38,09/07/2026 16:49:39,0,51.39,14.45,4.49
0,24,False,09/07/2026 16:49:39,09/07/2026 16:49:40,0,51.39,14.45,4.49
0,25,False,09/07/2026 16:49:40,09/07/2026 16:49:41,0,51.39,14.45,4.49
0,26,False,09/07/2026 16:49:41,09/07/2026 16:49:41,0,51.39,14.45,4.49
0,27,False,09/07/2026 16:49:41,09/07/2026 16:49:43,0,51.39,14.45,4.49
0,28,False,09/07/2026 16:49:43,09/07/2026 16:49:43,0,51.39,14.45,4.49
0,29,False,09/07/2026 16:49:43,09/07/2026 16:49:45,0,51.39,14.45,4.49
0,30,False,09/07/2026 16:49:45,09/07/2026 16:49:45,0,51.39,14.45,4.49
0,31,False,09/07/2026 16:49:45,09/07/2026 16:49:48,0,51.39,14.45,4.49
0,32,False,09/07/2026 16:49:48,09/07/2026 16:49:49,0,51.39,14.45,4.49
0,33,True,09/07/2026 16:49:49,12/31/9999 23:59:59,0,51.39,14.45,4.49
1,0,False,09/07/2026 16:49:34,09/07/2026 16:49:34,1,49.12,14.51,-14.29
1,1,False,09/07/2026 16:49:34,09/07/2026 16:49:34,1,49.12,14.51,-14.29
1,2,False,09/07/2026 16:49:34,09/07/2026 16:49:34,1,49.12,14.51,-14.29
1,3,False,09/07/2026 16:49:34,09/07/2026 16:49:34,1,49.12,14.51,-14.29
1,4,False,09/07/2026 16:49:34,09/07/2026 16:49:34,1,49.12,14.51,-14.29
1,5,False,09/07/2026 16:49:34,09/07/2026 16:49:34,1,49.12,14.51,-14.29
1,6,False,09/07/2026 16:49:34,09/07/2026 16:49:34,1,49.12,14.51,-14.29
1,7,False,09/07/2026 16:49:34,09/07/2026 16:49:34,1,49.12,14.51,-14.29
1,8,False,09/07/2026 16:49:34,09/07/2026 16:49:34,1,49.12,14.51,-14.29
1,9,False,09/07/2026 16:49:35,09/07/2026 16:49:35,1,49.12,14.51,-14.29
1,10,False,09/07/2026 16:49:35,09/07/2026 16:49:35,1,49.12,14.51,-14.29
