Wersja,Wersja.repo,Wersja.UrzadzenieID,Wersja.WersjaID,Wersja.Aktywne,Wersja.dataOstatniejModyfikacji,Wersja.dataWygasniecia,Wersja.Pomiary,Wersja.UrzadzenieRodzic
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,3,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,4,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,5,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,6,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,7,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,8,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,9,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,10,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,11,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,12,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,13,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,14,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,15,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,16,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,17,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,18,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,19,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,20,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,21,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,22,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,23,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,24,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,25,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,26,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,27,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,28,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,29,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,30,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
RMVB_konsola.Wersja,RMVB_konsola.Repo,0,31,False,"31/12/9999 23:59:59","20/01/2026 21:28:03",[],""
